Category,Stations,Address,District,Opened,Code
Airport Express,Airport,"Airport Station, Islands, Hong Kong",Islands,1998,AIR
Airport Express,AsiaWorld Expo,"AsiaWorld Expo Station, Islands, Hong Kong",Islands,2005,AWE
Airport Express,Hong Kong,"Hong Kong Station, Central and Western, Hong Kong",Central and Western,1998,HOK
Airport Express,Kowloon,"Kowloon Station, Yau Tsim Mong, Hong Kong",Yau Tsim Mong,1998,KOW
Disneyland Resort Line,Disneyland Resort,"Disneyland Resort Station, Tsuen Wan, Hong Kong",Tsuen Wan,2005,DIS
East Rail Line,Fanling,"Fanling Station, North, Hong Kong",North,1910,FAN
East Rail Line,Fo Tan,"Fo Tan Station, Sha Tin, Hong Kong",Sha Tin,1985,FOT
East Rail Line,Kwu Tung,"Kwu Tung Station, North, Hong Kong",North,2023,KTU
East Rail Line,Lo Wu,"Lo Wu Station, North, Hong Kong",North,1949,LOW
East Rail Line,Lok Ma Chau,"Lok Ma Chau Station, Yuen Long, Hong Kong",Yuen Long,2007,LMC
East Rail Line,Mong Kok East,"Mong Kok East Station, Yau Tsim Mong/Kowloon City, Hong Kong",Yau Tsim Mong,1910,MKK
East Rail Line,Racecourse,"Racecourse Station, Sha Tin, Hong Kong",Sha Tin,1978,RAC
East Rail Line,Sha Tin,"Sha Tin Station, Sha Tin, Hong Kong",Sha Tin,1910,SHT
East Rail Line,Sheung Shui,"Sheung Shui Station, North, Hong Kong",North,1913,SHS
East Rail Line,Tai Po Market,"Tai Po Market Station, Tai Po, Hong Kong",Tai Po,1983,TAP
East Rail Line,Tai Wai,"Tai Wai Station, Sha Tin, Hong Kong",Sha Tin,1983,TAW
East Rail Line,Tai Wo,"Tai Wo Station, Tai Po, Hong Kong",Tai Po,1989,TWO
East Rail Line,University,"University Station, Sha Tin, Hong Kong",Sha Tin,1956,UNI
Island Line,Admiralty,"Admiralty Station, Central and Western, Hong Kong",Central and Western,1980,ADM
Island Line,Causeway Bay,"Causeway Bay Station, Wan Chai, Hong Kong",Wan Chai,1985,CAB
Island Line,Central,"Central Station, Central and Western, Hong Kong",Central and Western,1980,CEN
