V1,V2,V3,V4,V5,V6,V7,V8
Livery,Name,Photo,Connections,District,Opened,Code,Notes
,Lo Wu,,,North,14 October 1949,LOW,[a]
,Lok Ma Chau,,,Yuen Long,15 August 2007,LMC,[b]
,Sheung Shui,,,North,16 May 1930,SHS,
,Fanling,,,North,1 October 1910,FAN,
,Tai Wo,,,Tai Po,9 May 1989,TWO,
,Tai Po Market,,,Tai Po,7 April 1983,TAP,[c]
,Universityformerly Ma Liu Shui,,,Sha Tin,24 September 1956,UNI,[d]
,Racecourse,,,Sha Tin,7 October 1978,RAC,[e][f]
,Fo Tan,,,Sha Tin,15 February 1985,FOT,[f]
,Sha Tin,,,Sha Tin,1 October 1910,SHT,
,Tai Wai,,     Ma On Shan Line,Sha Tin,15 August 1983,TAW,
,Kowloon Tong,,     Kwun Tong Line,Sham Shui Po/Kowloon City,6 May 1982,KOT,[13]
,Mong Kok Eastformerly Mong Kok,,,Yau Tsim Mong/Kowloon City,1 October 1910,MKK,[g][h]
,Hung Homformerly Kowloon,,     West Rail Line,Yau Tsim Mong/Kowloon City,30 November 1975,HUH,[i]
Livery,Name,Photo,Connections,District,Opened,Code,Notes
,Whampoa,,,Kowloon City,23 October 2016,WHA,
,Ho Man Tin,,,Kowloon City,23 October 2016,HOM,
,Yau Ma Teiformerly Waterloo,,     Tsuen Wan Line,Yau Tsim Mong,10 May 1982,YMT,[j]
,Mong Kokformerly Argyle,,     Tsuen Wan Line,Yau Tsim Mong,10 May 1982,MOK,[h]
,Prince Edward,,     Tsuen Wan Line,Yau Tsim Mong,10 May 1982,PRE,
,Shek Kip Mei,,,Sham Shui Po,1 October 1979,SKM,
,Kowloon Tong,,     East Rail Line,Sham Shui Po/Kowloon City,1 October 1979,KOT,
,Lok Fu,,,Wong Tai Sin,1 October 1979,LOF,
,Wong Tai Sin,,,Wong Tai Sin,1 October 1979,WTS,
,Diamond Hill,,,Wong Tai Sin,1 October 1979,DIH,
,Choi Hung,,,Wong Tai Sin/Kwun Tong,1 October 1979,CHH,
,Kowloon Bay,,,Kwun Tong,1 October 1979,KOB,
,Ngau Tau Kok,,,Kwun Tong,1 October 1979,NTK,
,Kwun Tong,,,Kwun Tong,1 October 1979,KWT,
,Lam Tin,,,Kwun Tong,1 October 1989,LAT,
,Yau Tong,,     Tseung Kwan O Line,Kwun Tong,4 August 2002,YAT,
,Tiu Keng Leng,,     Tseung Kwan O Line,Sai Kung,18 August 2002,TIK,
Livery,Name,Photo,Connections,District,Opened,Code,Notes
,Tsuen Wan,,,Tsuen Wan,10 May 1982,TSW,[k]
,Tai Wo Hau,,,Kwai Tsing/Tsuen Wan,10 May 1982,TWH,
,Kwai Hing,,,Kwai Tsing,10 May 1982,KWH,
,Kwai Fong,,,Kwai Tsing,10 May 1982,KWF,
,Lai King,,     Tung Chung Line,Kwai Tsing,10 May 1982,LAK,
,Mei Foo,,     West Rail Line,Sham Shui Po,17 May 1982,MEF,
,Lai Chi Kok,,,Sham Shui Po,17 May 1982,LCK,
,Cheung Sha Wan,,,Sham Shui Po,17 May 1982,CSW,
